Running n= 2, k=1, i=0...
Running n= 2, k=2, i=0...
Running n= 2, k=2, i=1...
Running n= 2, k=3, i=0...
Running n= 2, k=3, i=1...
Running n= 2, k=3, i=2...
Running n= 2, k=4, i=0...
Running n= 2, k=4, i=1...
Running n= 2, k=4, i=2...
Running n= 2, k=4, i=3...
Running n= 2, k=5, i=0...
Running n= 2, k=5, i=1...
Running n= 2, k=5, i=2...
Running n= 2, k=5, i=3...
Running n= 2, k=5, i=4...
Running n= 2, k=6, i=0...
Running n= 2, k=6, i=1...
Running n= 2, k=6, i=2...
Running n= 2, k=6, i=3...
Running n= 2, k=6, i=4...
Running n= 2, k=6, i=5...
Running n= 2, k=7, i=0...
Running n= 2, k=7, i=1...
Running n= 2, k=7, i=2...
Running n= 2, k=7, i=3...
Running n= 2, k=7, i=4...
Running n= 2, k=7, i=5...
Running n= 2, k=7, i=6...
Running n= 2, k=8, i=0...
Running n= 2, k=8, i=1...
Running n= 2, k=8, i=2...
Running n= 2, k=8, i=3...
Running n= 2, k=8, i=4...
Running n= 2, k=8, i=5...
Running n= 2, k=8, i=6...
Running n= 2, k=8, i=7...
Running n= 2, k=9, i=0...
Running n= 2, k=9, i=1...
Running n= 2, k=9, i=2...
Running n= 2, k=9, i=3...
Running n= 2, k=9, i=4...
Running n= 2, k=9, i=5...
Running n= 2, k=9, i=6...
Running n= 2, k=9, i=7...
Running n= 2, k=9, i=8...
Running n= 2, k=10, i=0...
Running n= 2, k=10, i=1...
Running n= 2, k=10, i=2...
Running n= 2, k=10, i=3...
Running n= 2, k=10, i=4...
Running n= 2, k=10, i=5...
Running n= 2, k=10, i=6...
Running n= 2, k=10, i=7...
Running n= 2, k=10, i=8...
Running n= 2, k=10, i=9...
Running n= 2, k=11, i=0...
Running n= 2, k=11, i=1...
Running n= 2, k=11, i=2...
Running n= 2, k=11, i=3...
Running n= 2, k=11, i=4...
Running n= 2, k=11, i=5...
Running n= 2, k=11, i=6...
Running n= 2, k=11, i=7...
Running n= 2, k=11, i=8...
Running n= 2, k=11, i=9...
Running n= 2, k=11, i=10...
Running n= 2, k=12, i=0...
Running n= 2, k=12, i=1...
Running n= 2, k=12, i=2...
Running n= 2, k=12, i=3...
Running n= 2, k=12, i=4...
Running n= 2, k=12, i=5...
Running n= 2, k=12, i=6...
Running n= 2, k=12, i=7...
Running n= 2, k=12, i=8...
Running n= 2, k=12, i=9...
Running n= 2, k=12, i=10...
Running n= 2, k=12, i=11...
Running n= 2, k=13, i=0...
Running n= 2, k=13, i=1...
Running n= 2, k=13, i=2...
Running n= 2, k=13, i=3...
Running n= 2, k=13, i=4...
Running n= 2, k=13, i=5...
Running n= 2, k=13, i=6...
Running n= 2, k=13, i=7...
Running n= 2, k=13, i=8...
Running n= 2, k=13, i=9...
Running n= 2, k=13, i=10...
Running n= 2, k=13, i=11...
Running n= 2, k=13, i=12...
Running n= 2, k=14, i=0...
Running n= 2, k=14, i=1...
Running n= 2, k=14, i=2...
Running n= 2, k=14, i=3...
Running n= 2, k=14, i=4...
Running n= 2, k=14, i=5...
